Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
United States,18.816,12555.264,2.67,12.5,2.77,2.53,41602.799,6303.321,568.187,7.636,0.005731838,799.23,0.087656
Austria,12.174,7275.354,5.48,10.8,7.37,5.31,59741.702,4567.301,7581.937,2.256,0.001046731,519.311,0.104613462
Belgium,11.065,6599.981,3.25,20.5,5.64,4.97,55788.9,4493.674,616.805,2.784,0.001917317,428.041,0.05652449
Bulgaria,8.52,2479.297,4.168,4.74,7.454,5.95,12534.589,1257.164,393.705,2.182,0.013355102,1088.051,0.101189796
Czechia,9.24,4512.162,4.26,8.95,6.63,4.04,43925.424,4276.254,721.989,1.497,0.002916455,590.437,0.029014583
Denmark,10.846,6279.807,4.38,10.24,2.5,2.47,38333.915,1200.2,1972.357,1.058,0.001706945,767.157,0.056530769
Finland,9.613,5598.892,4.33,18.92,3.28,2.61,43015.15,1425.451,427.086,4.424,0.005115513,1095.942,0.124802041
France,12.205,6629.556,3.36,9.65,5.98,3,109211.162,8321.294,1271.17,2.249,0.001292308,567.683,0.057139216
Germany,12.805,8010.935,4.53,12.03,8,5.95,218595,6514.879,458.952,2.67,0.001662497,603.255,0.094984615
Greece,9.508,3015.251,6.306,3.77,4.21,3.64,4200,2491.2,3657.388,4.759,0.003210519,1368.548,0.114469388
Hungary,7.25,2840.101,3.291,6.6,7.02,4.23,33786.669,3045.9,232.33,1.629,0.010324625,971.003,0.048277551
Ireland,6.728,6046.548,4.062,15.18,2.96,2.69,41595.558,2462.615,485.012,3.502,0.002522653,476.518,0.085945455
Italy,9.454,4290.689,4.25,6.4,3.18,2.66,58208.64,2986.087,1471.205,4.35,0.002452133,799.435,0.098293182
Lithuania,7.852,3587.327,4.47,7.88,6.56,5.2,27985.224,4628.2,665.957,1.554,0.002764279,772.155,0.169732653
Luxembourg,5.354,6436.062,2.98,12.1,4.51,3.25,16034.556,2036.688,757.753,2.938,0.001270963,414.064,-0.039744898
Netherlands,11.211,6729.134,3.836,11.3,3.32,2.62,15092.283,1632.54,498.702,0.893,0.000399732,124.442,0.080525
Norway,10.086,7771.165,5.18,18.9,3.6,3.1,4819.737,2846.9,359.044,1.049,0.0027836,559.196,0.120307692
Poland,6.593,2972.962,3.44,5.68,6.62,4.37,31425.763,3240.32,240.33,3.142,0.010102725,581.946,0.049828846
Portugal,11.211,4162.088,5.615,7.44,3.39,3.34,15992.726,1139.145,1633.683,3.866,0.001606871,662.787,0.092315385
Romania,6.272,2384.52,2.974,7.37,6.892,4.03,53262.665,756.894,227.705,10.585,0.005810946,444.262,0.038864583
Slovakia,7.232,2755.944,3.68,5.73,5.82,4.85,61795.825,5914.992,901.822,0.951,0.003323019,765.476,0.102003846
Slovenia,9.155,4113.818,3.34,10.49,4.5,4.13,38306.131,7105.702,1537.748,0.771,0.001710903,681.45,0.037682353
Spain,10.714,4431.858,4.49,6.34,2.97,2.51,47044.307,4305.468,438.583,3.619,0.003628335,583.454,0.102373077
Sweden,11.28,6437.692,4.32,10.85,2.22,1.9,32825.429,1114.952,323.559,1.679,0.00466831,609.242,0.044642
Switzerland,11.796,8049.11,4.44,18.39,4.53,3.59,45390.805,3446.835,814.627,1.524,0.000630503,224.735,0.082982692
United Kingdom,11.939,5492.642,3.18,8.66,2.54,2.43,61827.535,839.903,1694.378,3.093,0.003521825,562.473,0.080526923
